FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1483,SFO,"San Francisco, CA",PDX,"Portland, OR",1045,1052.0,7.0,21.0,1113.0,1224.0,4.0,1227,1228.0,1.0,0.0,,0.0,102.0,96.0,71.0,550.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1481,IAH,"Houston, TX",SFO,"San Francisco, CA",1421,1419.0,-2.0,18.0,1437.0,1625.0,8.0,1638,1633.0,-5.0,0.0,,0.0,257.0,254.0,228.0,1635.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1478,DEN,"Denver, CO",SFO,"San Francisco, CA",1350,1345.0,-5.0,10.0,1355.0,1527.0,7.0,1537,1534.0,-3.0,1.0,B,0.0,167.0,169.0,152.0,967.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1475,LAS,"Las Vegas, NV",DEN,"Denver, CO",600,606.0,6.0,12.0,618.0,845.0,6.0,854,851.0,-3.0,0.0,,0.0,114.0,105.0,87.0,628.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1470,IAD,"Washington, DC",PHX,"Phoenix, AZ",1810,1759.0,-11.0,16.0,1815.0,2043.0,3.0,2118,2046.0,-32.0,0.0,,0.0,308.0,287.0,268.0,1956.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1467,IAD,"Washington, DC",ORD,"Chicago, IL",1115,1109.0,-6.0,12.0,1121.0,1201.0,9.0,1219,1210.0,-9.0,1.0,B,0.0,124.0,121.0,100.0,588.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1463,DEN,"Denver, CO",SNA,"Santa Ana, CA",1120,1123.0,3.0,37.0,1200.0,1259.0,3.0,1243,1302.0,19.0,0.0,,0.0,143.0,159.0,119.0,846.0,0.0,0.0,19.0,0.0,0.0
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1453,TPA,"Tampa, FL",EWR,"Newark, NJ",1015,1006.0,-9.0,12.0,1018.0,1234.0,5.0,1257,1239.0,-18.0,0.0,,0.0,162.0,153.0,136.0,997.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1444,IAH,"Houston, TX",TPA,"Tampa, FL",1640,1631.0,-9.0,13.0,1644.0,1923.0,6.0,1945,1929.0,-16.0,1.0,C,0.0,125.0,118.0,99.0,787.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1439,IAD,"Washington, DC",DEN,"Denver, CO",1100,1054.0,-6.0,12.0,1106.0,1246.0,7.0,1257,1253.0,-4.0,0.0,,0.0,237.0,239.0,220.0,1452.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1431,LAX,"Los Angeles, CA",HNL,"Honolulu, HI",1345,1339.0,-6.0,14.0,1353.0,1731.0,3.0,1731,1734.0,3.0,0.0,,0.0,346.0,355.0,338.0,2556.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1430,OGG,"Kahului, HI",DEN,"Denver, CO",2240,2227.0,-13.0,11.0,2238.0,724.0,7.0,815,731.0,-44.0,1.0,A,0.0,395.0,364.0,346.0,3302.0,,,,,
2020-11-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1424,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",805,804.0,-1.0,12.0,816.0,1041.0,10.0,1054,1051.0,-3.0,0.0,,0.0,109.0,107.0,85.0,641.0,,,,,
