FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,220,DEN,"Denver, CO",SLC,"Salt Lake City, UT",2010,2015.0,5.0,20.0,2035.0,2133.0,9.0,2136,2142.0,6.0,0.0,,0.0,86.0,87.0,58.0,391.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,219,ORD,"Chicago, IL",HNL,"Honolulu, HI",900,912.0,12.0,29.0,941.0,1247.0,6.0,1250,1253.0,3.0,0.0,,0.0,530.0,521.0,486.0,4243.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,218,HNL,"Honolulu, HI",ORD,"Chicago, IL",1715,1734.0,19.0,18.0,1752.0,623.0,11.0,619,634.0,15.0,0.0,,0.0,484.0,480.0,451.0,4243.0,15.0,0.0,0.0,0.0,0.0
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,216,AUS,"Austin, TX",IAH,"Houston, TX",1415,1411.0,-4.0,15.0,1426.0,1503.0,9.0,1514,1512.0,-2.0,0.0,,0.0,59.0,61.0,37.0,140.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,214,SEA,"Seattle, WA",SFO,"San Francisco, CA",1835,1920.0,45.0,13.0,1933.0,2116.0,9.0,2041,2125.0,44.0,1.0,C,0.0,126.0,125.0,103.0,679.0,0.0,0.0,0.0,0.0,44.0
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,213,BOS,"Boston, MA",IAH,"Houston, TX",2030,2027.0,-3.0,12.0,2039.0,2315.0,8.0,2332,2323.0,-9.0,0.0,,0.0,242.0,236.0,216.0,1597.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,212,IAD,"Washington, DC",DFW,"Dallas/Fort Worth, TX",1730,1745.0,15.0,13.0,1758.0,1929.0,6.0,1940,1935.0,-5.0,0.0,,0.0,190.0,170.0,151.0,1172.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,211,ATL,"Atlanta, GA",IAH,"Houston, TX",1750,1935.0,105.0,12.0,1947.0,2022.0,6.0,1859,2028.0,89.0,0.0,,0.0,129.0,113.0,95.0,689.0,2.0,0.0,0.0,0.0,87.0
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,210,ATL,"Atlanta, GA",IAD,"Washington, DC",800,754.0,-6.0,15.0,809.0,935.0,7.0,944,942.0,-2.0,0.0,,0.0,104.0,108.0,86.0,534.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,205,AUS,"Austin, TX",IAH,"Houston, TX",1616,1706.0,50.0,25.0,1731.0,1813.0,4.0,1715,1817.0,62.0,1.0,B,0.0,59.0,71.0,42.0,140.0,2.0,0.0,12.0,0.0,48.0
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,203,ORD,"Chicago, IL",LAS,"Las Vegas, NV",715,712.0,-3.0,31.0,743.0,851.0,5.0,900,856.0,-4.0,0.0,,0.0,225.0,224.0,188.0,1514.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,202,ORD,"Chicago, IL",OGG,"Kahului, HI",930,1007.0,37.0,19.0,1026.0,1329.0,5.0,1310,1334.0,24.0,0.0,,0.0,520.0,507.0,483.0,4184.0,24.0,0.0,0.0,0.0,0.0
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,201,HNL,"Honolulu, HI",GUM,"Guam, TT",1420,1425.0,5.0,21.0,1446.0,1745.0,7.0,1755,1752.0,-3.0,0.0,,0.0,455.0,447.0,419.0,3801.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,200,GUM,"Guam, TT",HNL,"Honolulu, HI",830,826.0,-4.0,13.0,839.0,1948.0,8.0,1945,1956.0,11.0,0.0,,0.0,435.0,450.0,429.0,3801.0,,,,,
